epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.263,0.89402,2.18493,1.42988,0.79056,0.8016,0.85675,0.808,0.34828,0.78622,0.77378,0.00333069,0.00333069,0.00333069
2,333.167,0.63502,1.02074,1.15707,0.77153,0.80787,0.84816,0.80287,0.32947,0.77941,0.75737,0.00666239,0.00666239,0.00666239
3,493.078,0.65383,1.07521,1.16103,0.69518,0.69039,0.75437,0.71869,0.32254,1.07567,0.67705,0.00998759,0.00998759,0.00998759
4,652.379,0.65169,1.12606,1.15653,0.77561,0.80725,0.84974,0.8036,0.32835,0.76456,0.71894,0.00997803,0.00997803,0.00997803
5,810.177,0.61031,0.99175,1.13187,0.8169,0.82291,0.87587,0.8368,0.30173,0.6606,0.70018,0.00996097,0.00996097,0.00996097
6,969.61,0.57226,0.88921,1.10718,0.83824,0.8666,0.90261,0.87856,0.27469,0.60264,0.65175,0.00993906,0.00993906,0.00993906
7,1133.28,0.55578,0.82197,1.09639,0.87499,0.89756,0.93111,0.91983,0.21599,0.47691,0.61296,0.00991232,0.00991232,0.00991232
8,1291.1,0.53463,0.76744,1.08597,0.90959,0.89038,0.93735,0.92347,0.23793,0.46454,0.64025,0.00988079,0.00988079,0.00988079
9,1447.86,0.52446,0.73127,1.08083,0.901,0.92051,0.94485,0.93437,0.21173,0.43767,0.62306,0.00984449,0.00984449,0.00984449
10,1609.04,0.50912,0.69652,1.06993,0.9136,0.93572,0.95547,0.94639,0.20046,0.38309,0.59646,0.00980345,0.00980345,0.00980345
11,1767.92,0.4992,0.66245,1.06496,0.95043,0.92811,0.95994,0.95388,0.18973,0.36114,0.59027,0.00975773,0.00975773,0.00975773
12,1929.4,0.4895,0.6328,1.05981,0.94259,0.94365,0.96187,0.95765,0.20103,0.34259,0.59594,0.00970736,0.00970736,0.00970736
13,2088.58,0.48278,0.61425,1.05636,0.9438,0.95662,0.96209,0.9594,0.18173,0.32755,0.57407,0.00965239,0.00965239,0.00965239
14,2248.06,0.47601,0.59861,1.0508,0.93265,0.95627,0.96544,0.96131,0.19264,0.31972,0.57264,0.00959289,0.00959289,0.00959289
15,2407.2,0.46416,0.57802,1.04203,0.96572,0.95434,0.97115,0.96993,0.16566,0.29044,0.55523,0.00952889,0.00952889,0.00952889
16,2566.44,0.46369,0.56953,1.04492,0.96844,0.95871,0.97001,0.96821,0.16127,0.2783,0.54084,0.00946048,0.00946048,0.00946048
17,2725.63,0.46015,0.54612,1.04088,0.96142,0.97177,0.97289,0.97115,0.16211,0.27115,0.53707,0.00938772,0.00938772,0.00938772
18,2885.15,0.45297,0.53764,1.03819,0.96469,0.96683,0.97322,0.97011,0.17108,0.27965,0.55323,0.00931067,0.00931067,0.00931067
19,3044.62,0.44672,0.52967,1.03433,0.97001,0.96685,0.97278,0.97162,0.15943,0.27378,0.55168,0.00922942,0.00922942,0.00922942
20,3203.94,0.4427,0.51125,1.03349,0.97013,0.96581,0.9747,0.97362,0.15052,0.25807,0.53738,0.00914405,0.00914405,0.00914405
21,3363.19,0.43869,0.50693,1.03035,0.96201,0.97173,0.97316,0.97181,0.17678,0.2729,0.54587,0.00905463,0.00905463,0.00905463
22,3522.69,0.43336,0.49641,1.02775,0.97015,0.9724,0.97511,0.97314,0.15721,0.24847,0.52516,0.00896127,0.00896127,0.00896127
23,3681.72,0.43142,0.48088,1.02471,0.97197,0.96849,0.97598,0.97489,0.14589,0.24795,0.52287,0.00886404,0.00886404,0.00886404
24,3841.12,0.42671,0.48114,1.02426,0.9762,0.9649,0.97512,0.97424,0.15037,0.24826,0.51863,0.00876305,0.00876305,0.00876305
25,4000.45,0.42369,0.47185,1.02049,0.96599,0.97485,0.97564,0.9745,0.1499,0.24688,0.52692,0.00865839,0.00865839,0.00865839
26,4159.19,0.41946,0.46185,1.02066,0.97358,0.96969,0.97705,0.97578,0.15326,0.23758,0.5168,0.00855018,0.00855018,0.00855018
27,4318.4,0.4155,0.455,1.01832,0.96954,0.97239,0.97704,0.9763,0.13973,0.23311,0.51784,0.00843851,0.00843851,0.00843851
28,4477.2,0.40936,0.4459,1.01416,0.96849,0.97523,0.97715,0.97636,0.14162,0.23294,0.5105,0.00832349,0.00832349,0.00832349
29,4635.85,0.40738,0.44634,1.01442,0.96968,0.97479,0.97726,0.97657,0.14383,0.23643,0.51409,0.00820525,0.00820525,0.00820525
30,4794.85,0.40504,0.43477,1.01296,0.97135,0.97661,0.9777,0.97694,0.14514,0.23485,0.5139,0.00808389,0.00808389,0.00808389
31,4953.51,0.40181,0.43132,1.0119,0.97741,0.96853,0.9769,0.9761,0.13823,0.22749,0.50902,0.00795954,0.00795954,0.00795954
32,5112.2,0.39534,0.4241,1.00609,0.97234,0.97295,0.97684,0.97631,0.14012,0.23509,0.51192,0.00783231,0.00783231,0.00783231
33,5271,0.39533,0.41561,1.00573,0.9772,0.97027,0.97755,0.97688,0.14053,0.23416,0.50603,0.00770234,0.00770234,0.00770234
34,5429.71,0.38925,0.4125,1.0032,0.97847,0.96794,0.97821,0.97726,0.13907,0.22806,0.50725,0.00756976,0.00756976,0.00756976
35,5590.51,0.39068,0.41183,1.00476,0.97954,0.96749,0.978,0.97728,0.14225,0.22797,0.50198,0.00743468,0.00743468,0.00743468
36,5750.31,0.38223,0.40329,1.00013,0.9783,0.96769,0.97767,0.97698,0.1414,0.2302,0.5015,0.00729725,0.00729725,0.00729725
37,5909.11,0.37998,0.39711,0.9991,0.9788,0.96584,0.978,0.97768,0.13479,0.2228,0.49198,0.00715761,0.00715761,0.00715761
38,6067.69,0.3755,0.38774,0.99733,0.97885,0.96615,0.97804,0.97793,0.13022,0.22252,0.48908,0.00701588,0.00701588,0.00701588
39,6226.77,0.37398,0.39109,0.99548,0.97138,0.97422,0.97893,0.97884,0.12422,0.21833,0.48421,0.00687222,0.00687222,0.00687222
40,6386.08,0.36778,0.37688,0.99197,0.97438,0.97317,0.97923,0.97914,0.12399,0.21991,0.48306,0.00672675,0.00672675,0.00672675
41,6544.74,0.367,0.37969,0.9923,0.97588,0.97172,0.9791,0.97901,0.12194,0.21605,0.4808,0.00657963,0.00657963,0.00657963
42,6703.37,0.36319,0.3715,0.9902,0.97674,0.97089,0.97909,0.97901,0.1227,0.2131,0.48092,0.00643101,0.00643101,0.00643101
43,6861.78,0.35691,0.36351,0.98739,0.97845,0.97032,0.97905,0.9789,0.12029,0.21102,0.47775,0.00628101,0.00628101,0.00628101
44,7020.47,0.35567,0.35753,0.98775,0.97858,0.97041,0.97916,0.97902,0.11994,0.21069,0.47612,0.00612981,0.00612981,0.00612981
45,7178.74,0.35223,0.36273,0.98712,0.97973,0.97031,0.97946,0.97932,0.11902,0.20886,0.47396,0.00597754,0.00597754,0.00597754
46,7337.33,0.3491,0.35291,0.98286,0.97897,0.97084,0.97943,0.97937,0.11958,0.20774,0.47195,0.00582435,0.00582435,0.00582435
47,7496.03,0.34546,0.34407,0.98169,0.9789,0.97074,0.97947,0.97935,0.12003,0.20692,0.47036,0.0056704,0.0056704,0.0056704
48,7655.67,0.34154,0.34169,0.97877,0.9795,0.97113,0.97951,0.97944,0.11942,0.2054,0.46879,0.00551584,0.00551584,0.00551584
49,7814.16,0.33912,0.34387,0.9785,0.97934,0.97145,0.97953,0.97949,0.11961,0.20424,0.46841,0.00536081,0.00536081,0.00536081
50,7972.58,0.3356,0.33831,0.97662,0.97885,0.97108,0.97973,0.97964,0.11861,0.20329,0.4675,0.00520548,0.00520548,0.00520548
51,8131.04,0.33307,0.33451,0.97742,0.97885,0.971,0.97982,0.97972,0.11624,0.20167,0.4657,0.00505,0.00505,0.00505
52,8289.65,0.32741,0.32786,0.97251,0.97995,0.97072,0.98001,0.97991,0.11537,0.20201,0.46475,0.00489452,0.00489452,0.00489452
53,8448.95,0.32425,0.32221,0.97113,0.97973,0.97098,0.98007,0.98,0.11577,0.20167,0.46447,0.00473919,0.00473919,0.00473919
54,8607.96,0.32285,0.31729,0.97085,0.97912,0.97133,0.98016,0.98009,0.11543,0.20231,0.46422,0.00458416,0.00458416,0.00458416
55,8766.71,0.31915,0.31674,0.96898,0.97876,0.97101,0.9802,0.98014,0.11545,0.20226,0.46378,0.0044296,0.0044296,0.0044296
56,8925.85,0.31353,0.3107,0.96665,0.97882,0.97057,0.98025,0.98022,0.11463,0.20196,0.46285,0.00427565,0.00427565,0.00427565
57,9084.8,0.30978,0.30361,0.96398,0.98007,0.96979,0.98029,0.98028,0.11396,0.20212,0.46203,0.00412246,0.00412246,0.00412246
58,9243.48,0.30851,0.30573,0.96275,0.9801,0.96981,0.98036,0.98035,0.11343,0.20137,0.46144,0.00397019,0.00397019,0.00397019
